Galaxy,Q,Inc_deg,N,in_primary,Mbar_Msun,vh_kms,vh_lo,vh_hi,chi2red_ssv,chi2red_nfw,nfw_v200,nfw_c,chi2red_mond,chi2red_cored_posthoc,cored_vh,cored_rc_kpc,chi2red_flynn
NGC3109,1,70.0,25,1,7.3141e+08,24.75,24.50,25.00,89.502,8.724,291.7,1.00,5.371,0.216,75.8,4.16,17.986
NGC3198,1,73.0,43,1,3.3595e+10,115.25,115.00,115.50,41.603,1.392,112.0,9.41,13.409,0.791,134.3,5.50,1890.961
NGC3521,1,75.0,41,1,4.7943e+10,111.25,108.50,114.00,3.882,0.327,170.4,8.35,0.763,0.823,171.4,5.16,105.175
NGC3726,2,53.0,12,0,4.3726e+10,96.25,93.75,98.50,9.399,2.043,225.9,2.19,24.978,2.369,137.5,11.48,68.893
NGC3741,1,70.0,21,1,2.5606e+08,33.25,32.75,33.50,22.316,0.344,72.7,3.96,1.353,1.343,50.6,2.51,24.872
NGC3769,2,70.0,12,0,1.6693e+10,91.50,89.25,93.50,4.794,1.105,95.8,7.81,4.654,0.572,109.4,5.63,72.106
NGC3877,2,76.0,13,0,3.8240e+10,88.50,85.75,91.25,9.419,5.634,75.0,15.72,13.113,4.367,103.6,2.41,73.899
NGC3893,1,49.0,10,1,3.6975e+10,122.25,119.00,125.50,7.496,1.109,132.0,10.36,0.895,0.374,153.4,4.76,61.036
NGC3917,1,79.0,17,1,1.3494e+10,89.25,88.00,90.25,40.658,4.278,135.0,6.48,2.858,0.993,121.7,4.48,121.870
NGC3949,2,55.0,7,0,2.3517e+10,66.25,60.25,71.75,2.070,0.551,600.0,1.35,2.260,0.439,199.6,10.01,4.713
NGC3953,1,62.0,8,0,7.4417e+10,137.25,134.00,140.75,1.168,0.267,101.4,19.37,2.475,0.201,147.7,2.87,17.914
NGC3972,1,77.0,10,1,8.7911e+09,82.50,80.75,84.25,20.358,1.145,200.8,4.77,1.899,0.753,116.2,3.58,22.506
NGC3992,1,56.0,9,0,1.3554e+11,205.75,203.25,208.25,0.691,0.415,150.5,17.91,9.241,0.478,208.9,3.58,29.921
NGC4010,2,89.0,12,0,1.2363e+10,76.00,74.00,78.00,17.153,2.239,571.3,1.00,3.986,1.421,123.8,6.65,22.236
NGC4013,2,89.0,36,0,4.3493e+10,132.25,131.25,133.25,8.029,0.994,167.9,4.88,7.484,1.674,156.9,9.86,5.351
NGC4051,2,49.0,7,0,5.1221e+10,79.75,74.50,84.50,1.113,0.792,65.3,14.22,11.422,0.684,88.9,2.77,11.858
NGC4068,2,44.0,6,0,3.2282e+08,18.50,17.25,19.75,8.298,1.875,171.7,1.00,24.486,0.214,173.4,12.04,0.859
NGC4085,2,82.0,7,0,1.2656e+10,48.00,43.00,52.75,12.269,6.670,518.3,1.00,13.127,4.533,271.1,17.55,19.507
NGC4088,1,69.0,12,1,6.4584e+10,73.75,69.00,78.00,6.820,2.654,286.4,1.00,35.884,1.107,302.0,50.00,62.453
NGC4100,1,73.0,24,1,3.3823e+10,139.25,138.00,140.75,2.397,0.858,100.8,19.43,3.393,0.947,146.6,2.92,129.176
NGC4138,2,53.0,7,0,2.4028e+10,122.00,116.00,127.75,1.118,0.938,79.6,27.29,1.213,1.005,127.9,2.07,9.437
NGC4157,1,82.0,17,1,6.3751e+10,119.00,116.25,121.50,6.317,0.401,412.2,1.32,9.087,0.393,172.6,15.35,93.936
NGC4183,1,82.0,23,1,1.0082e+10,86.50,85.25,87.75,3.693,0.169,75.1,12.20,3.688,0.157,95.0,2.65,50.369
NGC4214,2,15.0,14,0,1.2169e+09,66.25,64.50,68.00,2.146,0.671,49.7,24.03,5.669,1.448,72.4,0.67,18.783
NGC4217,1,86.0,19,1,4.6057e+10,38.50,31.25,44.50,45.018,38.080,373.9,1.00,55.702,33.712,422.5,50.00,130.669
NGC4389,3,50.0,6,0,1.1381e+10,0.00,0.00,5.00,16.768,21.220,10.0,1.00,54.006,20.961,0.0,0.97,1.396
NGC4559,1,67.0,32,1,1.7417e+10,88.25,87.25,89.25,6.410,0.390,106.6,5.72,13.875,0.293,107.6,6.59,93.683
NGC5005,1,68.0,18,1,9.1062e+10,74.25,59.50,86.75,1.932,0.716,600.0,2.06,0.543,0.420,272.7,14.04,24.896
NGC5033,1,66.0,22,1,7.0302e+10,172.50,171.75,173.00,14.346,5.410,134.5,14.33,13.863,5.635,180.3,5.55,1016.834
NGC5055,1,55.0,28,1,9.2051e+10,113.00,112.75,113.25,546.825,62.973,177.2,3.24,770.292,20.808,160.0,14.20,14724.855
NGC5371,1,53.0,19,1,1.8507e+11,127.25,126.00,128.50,4.705,8.819,98.8,15.18,170.681,4.982,127.3,0.01,563.701
NGC5585,1,51.0,24,1,3.7099e+09,39.25,39.00,39.50,174.925,7.174,211.7,2.18,26.207,5.262,89.1,4.23,285.754
NGC5907,1,88.0,19,1,1.1568e+11,174.00,173.50,174.75,3.814,5.710,135.6,13.97,33.556,3.735,175.1,2.35,309.683
NGC5985,1,60.0,33,1,1.1977e+11,243.25,242.25,244.00,5.113,2.629,158.6,27.27,160.603,1.904,249.7,2.77,195.212
NGC6015,2,60.0,44,0,2.3824e+10,107.25,107.00,107.75,61.640,8.283,96.8,16.96,33.711,7.117,127.1,1.96,1527.181
NGC6195,1,62.0,23,1,2.2334e+11,103.25,100.75,106.00,13.404,2.066,454.6,1.00,26.564,2.185,210.5,25.25,331.473
NGC6503,1,74.0,31,1,8.7420e+09,100.25,100.00,100.50,20.993,1.938,84.7,11.54,2.807,1.369,106.6,3.58,1010.318
NGC6674,1,54.0,15,1,1.5011e+11,211.50,210.75,212.00,6.179,13.605,169.7,12.07,24.540,6.654,211.5,0.01,895.136
NGC6789,2,43.0,4,0,7.2610e+07,27.00,24.50,29.25,11.068,2.040,600.0,2.97,6.115,0.294,101.5,1.08,1.070
NGC6946,1,38.0,58,1,4.0628e+10,98.25,97.75,98.75,22.736,2.616,158.0,5.43,25.645,1.751,131.7,6.04,1171.096
NGC7331,1,75.0,36,1,1.4003e+11,152.75,151.75,153.50,38.103,6.023,600.0,1.04,35.829,3.966,234.7,23.81,201.406
NGC7793,1,47.0,46,1,4.6701e+09,46.50,45.25,47.75,6.801,0.892,70.1,12.20,0.911,1.043,81.8,1.73,62.552
NGC7814,1,90.0,18,1,3.8688e+10,167.50,166.50,168.75,10.873,1.224,153.3,11.98,27.271,0.692,188.6,5.53,211.533
PGC51017,3,66.0,6,0,3.4483e+08,7.50,5.50,9.25,1.065,2.016,10.0,1.29,131.426,1.332,7.5,0.01,3.030
UGC00128,1,57.0,22,1,1.5893e+10,115.25,115.00,115.25,30.737,3.096,103.3,8.29,96.957,3.508,121.2,6.33,4608.217
UGC00191,1,45.0,9,0,2.7882e+09,59.75,59.50,60.25,139.032,3.585,62.8,10.02,29.668,1.725,71.8,1.74,172.156
UGC00634,2,37.0,4,0,6.3663e+09,94.25,93.50,95.00,28.724,3.202,102.6,6.30,1.411,0.641,108.1,6.56,63.158
UGC00731,1,57.0,12,1,2.5648e+09,54.25,53.50,55.25,17.805,0.340,57.2,9.52,16.356,0.374,65.2,2.03,30.776
UGC00891,2,60.0,5,0,7.5624e+08,51.50,51.25,52.00,76.493,3.114,266.4,1.00,47.453,0.160,71.5,5.04,62.238
UGC01230,1,22.0,11,0,1.2362e+10,79.00,75.25,82.50,5.146,1.090,78.5,11.07,3.689,0.481,97.6,3.18,24.237
